               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088547,            0.047851,            0.033837,            0.024971,            0.041667,            0.011702,           0.0022096,             0.06981,            0.026869,            0.027698,               9e-05,               9e-05,             0.09919
                   1,             0.10636,            0.048645,            0.043783,           0.0053555,             0.43056,           0.0063174,            0.001314,            0.069305,            0.027286,            0.028129,          0.00018996,          0.00018996,             0.09829
                   2,            0.098859,            0.045777,            0.036004,           0.0046934,             0.30556,           0.0055179,           0.0015862,            0.068539,            0.027351,            0.028172,          0.00028974,          0.00028974,             0.09739
                   3,            0.075388,            0.038433,            0.027371,            0.018169,             0.11111,            0.011461,           0.0029695,            0.066768,            0.028002,            0.027534,          0.00038922,          0.00038922,            0.096489
                   4,            0.086094,            0.043596,            0.032489,            0.015277,             0.15278,            0.010377,           0.0019677,            0.065313,            0.028232,            0.027183,          0.00048826,          0.00048826,            0.095588
                   5,            0.087684,            0.054713,            0.031918,            0.051856,               0.125,            0.016049,           0.0027259,             0.06374,            0.028314,            0.026387,          0.00058673,          0.00058673,            0.094687
                   6,            0.073024,            0.037652,            0.027866,            0.075486,             0.23611,            0.027909,           0.0087872,            0.061271,            0.028602,            0.026091,           0.0006845,           0.0006845,            0.093785
                   7,            0.096887,            0.052755,             0.03638,            0.083873,             0.23611,            0.033866,            0.012444,             0.06019,            0.028699,            0.026028,          0.00078144,          0.00078144,            0.092881
                   8,            0.075192,            0.045444,            0.031565,            0.091324,             0.23575,            0.033161,            0.011226,            0.058373,            0.028729,            0.026187,          0.00087742,          0.00087742,            0.091977
                   9,            0.069681,            0.051025,             0.02764,            0.067393,             0.23611,            0.033259,           0.0097061,            0.056908,            0.028675,            0.026091,          0.00097231,          0.00097231,            0.091072
                  10,            0.070697,            0.039461,            0.029468,            0.051412,             0.23611,            0.029778,           0.0069708,            0.054264,             0.02903,            0.025858,            0.001066,            0.001066,            0.090166
                  11,            0.083703,            0.048457,            0.035484,            0.044129,               0.125,            0.029608,           0.0066406,            0.052911,            0.029018,            0.025889,           0.0011583,           0.0011583,            0.089258
                  12,            0.067456,            0.042093,            0.027808,            0.041628,             0.34722,            0.040168,           0.0083796,            0.051659,            0.029078,            0.025762,           0.0012492,           0.0012492,            0.088349
                  13,            0.065942,            0.044874,            0.028067,             0.12394,             0.22934,            0.051778,           0.0099226,             0.04986,            0.028947,             0.02556,           0.0013386,           0.0013386,            0.087439
                  14,            0.066751,            0.040152,             0.02806,             0.07507,             0.27778,            0.049466,           0.0091511,            0.047343,            0.029434,            0.025253,           0.0014262,           0.0014262,            0.086526
                  15,            0.058205,            0.037611,            0.026633,            0.064428,             0.27778,            0.051299,           0.0087967,            0.045179,            0.029225,            0.025253,            0.001512,            0.001512,            0.085612
                  16,            0.053359,            0.037317,             0.02364,             0.22748,             0.16667,            0.093697,            0.013425,            0.043786,             0.02929,            0.025256,           0.0015959,           0.0015959,            0.084696
                  17,            0.062291,            0.053388,            0.029452,             0.22748,             0.16667,            0.093697,            0.013425,            0.043786,             0.02929,            0.025256,           0.0016778,           0.0016778,            0.083778
                  18,            0.060935,            0.039824,            0.029744,             0.08318,             0.31944,            0.094108,            0.014389,            0.042966,            0.029244,            0.024756,           0.0017576,           0.0017576,            0.082858
                  19,            0.049978,             0.03835,            0.025711,             0.22132,             0.20192,             0.13497,            0.023497,            0.042805,              0.0289,            0.024551,           0.0018352,           0.0018352,            0.081935
                  20,            0.046822,             0.04383,            0.023038,             0.12425,             0.20833,             0.10631,            0.020623,            0.043161,            0.028901,             0.02404,           0.0019104,           0.0019104,             0.08101
                  21,            0.060937,             0.05214,            0.030915,             0.12425,             0.20833,             0.10631,            0.020623,            0.043161,            0.028901,             0.02404,           0.0019832,           0.0019832,            0.080083
                  22,            0.069307,            0.052313,            0.028818,            0.091975,             0.44444,             0.11459,            0.021578,            0.043025,            0.028502,            0.023769,           0.0020535,           0.0020535,            0.079154
